Objektnummer;Kulturdenkmaltyp;Kreis;Gemeinde;Adresse-Lage;Bezeichnung;Beschreibung;Begründung;Schutzumfang;FotoURL
51192;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Falkenberg 3, 7, 9, 11, 12, 14, 15, 16, 17, 19, 21, 26, 28, Immenhof 1, 3, 4, 5, 11, 12, 15, Strucksdamm 6";"Tietjekolonie";"Tietjekolonie; 1924-25, Planung Baugeschäft Jürgensen und Tietje, beteiligt Chr. W. S. Hummel, Richard Janssen, G. Hansen, Thomsen und Lauritzen; homogen angelegte Siedlung mit großzügigen Villen und Wohnhäusern überwiegend im Heimatschutzstil auf Gartengrundstücken; zugehörige Einfriedungen";"Geschichtlich, Künstlerisch, Städtebaulich";"Wohnhäuser (Falkenberg 3, 11, 14, 16, 17, 26, 28, Immenhof 1, 4, 5), Wohnhaus Hummel mit Gartenhaus, Einfriedung (Falkenberg 7), Wohnhaus mit Einfriedung (Falkenberg 9), Villa mit Einfriedung (Falkenberg 12), Wohnhaus Petersen mit Einfriedung (Falkenberg 15), Villa Kohrs mit Einfriedung (Falkenberg 19), Villa (Falkenberg 21), Wohnhaus mit Garage (Immenhof 3), Wohnhaus mit Garage (Immenhof 11), Zweifamilienhaus mit Einfriedung (Immenhof 12), Zweifamilienhaus mit Einfriedung (Immenhof 15), Wohnhaus mit Einfriedung (Strucksdamm 6)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/51192.jpg"
19248;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Fördepromenade 3, 10-12a, 14-18, 20-24a, 30, Am Fördeufer 1-b, 2-6";"Marinestützpunkt Flensburg";"Marinestützpunkt Flensburg; 1917-1944, Regierungsbaurat Wilhelm Penners u.a.; prägende Gebäudegruppe entlang des östlichen Flensburger Fördeufers, zurückgehend auf 1902 gegründete kaiserliche Torpedoschule, zwischen 1939 und 1944 als Marinestützpunkt baulich erweitert";"Geschichtlich, Künstlerisch, Städtebaulich";"Bonte-Kaserne (Am Fördeufer 1, 1a-b), Kasinogebäude (Am Fördeufer 2-6), Werkstättengebäude und Heizwerk (Fördepromenade 30), Landanschlusszentrale Nord (Fördepromenade 3), Torpedo-Mechanikerhaus (Fördepromenade 10-12a), Unterrichtsgebäude II (Fördepromenade 14-18), Unterrichtsgebäude I (Fördepromenade 20-24a)";""
35265;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Friedrich-Ebert-Straße 1, 7";"Deutsches Haus mit Konzertgarten";"Deutsches Haus mit Konzertgarten; 1928-52, Architekt Paul Ziegler u. Theodor Rieve; platzbildende Klinkerbaugruppe in kubischer Gestaltung des Neuen Bauens mit Resten des Konzertgartens und dem ehem. Musikpavillon, heute NDR-Studio";"Geschichtlich, Künstlerisch, Städtebaulich";"Deutsches Haus, Konzertgarten (Friedrich-Ebert-Straße 1), NDR-Studio (Musikpavillon) (Friedrich-Ebert-Straße 7)";""
35631;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 2";"Kaufmannshof Große Straße 2";"Kaufmannshof Große Straße 2; v. a. 19. Jh., im Kern älter; Vorderhaus des 16. Jhs. mit klassizistischer Putzfassade der Zeit um 1820, rückwärtig hofbildende Flügelbauten mit Satteldächern, nach Osten abschließender eingeschossiger Querbau mit Mansarddach";"Geschichtlich, Künstlerisch, Städtebaulich";"Vorderhaus, Rückflügel, Seitenflügel, Quergebäude";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35631.jpg"
35636;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 4";"Kaufmannshof Große Straße 4";"Kaufmannshof Große Straße 4; 16-19. Jh.; Vorderhaus des 16. Jhs. mit klassizistischer Putzfassade der Zeit um 1820, rückwärtig hofbildende zwei- und dreigeschossige Flügelbauten mit Satteldächern, nach Osten abschließender eingeschossiger Querbau mit Mansarddach";"Geschichtlich, Künstlerisch, Städtebaulich, Wissenschaftlich";"Vorderhaus, erster Seitenflügel, zweiter Seitenflügel, dritter Seitenflügel, Querspeicher";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35636.jpg"
36259;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 8";"Wohn- und Geschäftshaus Große Straße 8";"Wohn- und Geschäftshaus Große Straße 8; 1893/94, 1898, Maurermeister Chr. Henningsen u. H. Höft; Vorderhaus mit historistischer Fassade und zeitgleich entstandenen rückwärtigen Flügelanbauten in Gelbstein, wenig jüngeres Hinterhaus mit ehem. Schulnutzung";"Geschichtlich, Städtebaulich";"Wohn- und Geschäftshaus, erster Seitenflügel, zweiter Seitenflügel, Hinterhaus";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/36259.jpg"
47388;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 12";"ehem. Colosseum-Filmtheater";"ehem. „Colosseum“-Filmtheater; 1887; repräsentatives viergeschossiges Wohn- und Geschäftshaus mit hofartig angelegtem rückwärtigem Trakt und Saalanbau";"Geschichtlich, Künstlerisch, Städtebaulich";"ehem. 'Colosseum'-Filmtheater, Saalanbau";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/47388.jpg"
35737;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 36";"Wohn- und Geschäftshaus mit Quergebäude Große Straße 36";"Wohn- und Geschäftshaus mit Quergebäude; 1846, 1890/91, Arch. Alexander Wilhelm Prale; viergeschossiger Backsteinbau von 1890/91 mit neogotischer Fassadengestaltung und langgestrecktem bauzeitlicher Rückflügel, seitlich liegender schlichter geschlämmter Querbau des mittleren 19. Jhs.";"Geschichtlich, Künstlerisch, Städtebaulich";"Wohn- und Geschäftshaus, Querbau";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35737.jpg"
47415;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 38-40";"Wohn- und Geschäftshaus Große Straße 38-40";"Wohn- und Geschäftshaus Große Straße 38-40; 18. Jh., 1919; aus zwei ehem. Giebelhäusern zusammengefasster dreigeschossiger Putzbau mit Hofbebauung aus zwei niedrigeren Seitenflügeln";"Geschichtlich, Städtebaulich";"Wohn- und Geschäftshaus, südlicher Seitenflügel, nördlicher Seitenflügel";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/47415.jpg"
80;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 42-44";"Kaufmannshof Große Straße 42-44";"Kaufmannshof Große Straße 42-44; 17-19. Jh.; aus zwei ehem. Traufenhäusern zusammengefasster zweigeschossiger Putzbau mit Hofbebauung aus niedrigeren Fachwerk- und Backsteinflügeln und nach Osten abschließendem Querbau mit weiterem Flügelanbau";"Geschichtlich, Künstlerisch, Städtebaulich";"Vorderhaus, Zwischenbau, erster nördlicher Seitenflügel, zweiter nördlicher Seitenflügel, erster südlicher Seitenflügel, zweiter südlicher Seitenflügel, Querspeicher, dritter nördlicher Seitenflügel";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/80.jpg"
47420;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 46";"Wohn- und Geschäftshaus Große Straße 46";"Wohn- und Geschäftshaus Große Straße 46; 18./19. Jh.; dreigeschossiges Vorderhaus mit Rückflügel und Hofbebauung aus zwei niedrigeren Backsteinflügeln und nach Osten abschließendem Querbau";"Geschichtlich, Städtebaulich";"Wohn- und Geschäftshaus, Rückflügel, erster Seitenflügel, zweiter Seitenflügel, Quergebäude";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/47420.jpg"
35661;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 50";"Kaufmannshof Große Straße 50";"Kaufmannshof Große Straße 50; im Kern 15./16. Jh.; im 19. Jh. verändertes Vorderhaus mit nach Osten anschließender nordseitiger Hofbebauung aus um 1600 errichteten zweigeschossigen Backsteinflügeln und dreigeschossigen Querhäusern von 1890";"Geschichtlich, Künstlerisch, Städtebaulich";"Vorderhaus, Rückflügel, Seitenflügel, mittleres Querhaus, hinteres Querhaus";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35661.jpg"
35662;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 52";"Kaufmannshof Große Straße 52";"Kaufmannshof Große Straße 52; 16. Jh., 18. Jh.; im EG verändertes Vorderhaus mit großbürgerlichem Anspruch des 18. Jahrhunderts und nach Osten anschließender nordseitiger Hofbebauung aus etwa zeitgleich errichtetem dreigeschossigen Backsteinflügeln und dreigeschossigem Querspeicher des 16. Jhs.";"Geschichtlich, Künstlerisch, Städtebaulich";"Vorderhaus, nördlicher Seitenflügel, Querspeicher";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35662.jpg"
35665;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 54";"Kaufmannshof Große Straße 54";"Kaufmannshof Große Straße 54; Mi. 19. Jh., im Kern wohl 16. Jh.; Vorderhaus mit klassizistischer Fassade und rückseitig anschließendem, etwa zeitgleich errichtetem niedrigerem Backsteinflügel";"Geschichtlich, Städtebaulich";"Vorderhaus, Seitenflügel";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35665.jpg"
35666;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 69";"Kaufmannshof Große Straße 69";"Kaufmannshof Große Straße 69; 16-19. Jh.; dreigeschossiges Doppelgiebelhaus mit umfänglicher Hofbebauung aus vier geschlämmten zwei- bis dreigeschossigen Backsteinflügeln und nach Westen abschließendem jüngerem Querbau";"Geschichtlich, Künstlerisch, Städtebaulich";"Vorderhaus, erster nördlicher Seitenflügel, zweiter nördlicher Seitenflügel, erster südlicher Seitenflügel, zweiter südlicher Seitenflügel, Quergebäude, Hof";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35666.jpg"
35667;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 71";"Handwerkerhof Große Straße 71";"Handwerkerhof Große Straße 71; 19. Jh.; dreieinhalbgeschossiges Vorderhaushaus mit zugehörigem Rückflügel und Hofbebauung aus geschlämmten zweigeschossigen Backsteinflügel und nach Westen abschließendem älterem Querbau";"Geschichtlich, Städtebaulich";"Vorderhaus, Seitenflügel, Quergebäude";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35667.jpg"
35668;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 73";"Handwerkerhof Große Straße 73";"Handwerkerhof Große Straße 73; 17.-19. Jh.; zweigeschossiges Vorderhaushaus mit barockem Schweifgiebel und Hofbebauung aus geschlämmten zweigeschossigen Fachwerk- und Backsteinflügel und nach Westen abschließendem jüngerem Quergebäude";"Geschichtlich, Künstlerisch, Städtebaulich";"Vorderhaus, Rückflügel, Seitenflügel, Quergebäude";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35668.jpg"
29764;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 75";"Kaufmannshof Große Straße 75";"Kaufmannshof Große Straße 75; 17.-18. Jh.; zweigeschossiges Fachwerk-Vorderhaus mit jüngerer Putzfassade und Hofbebauung aus Fachwerkflügeln sowie niedrigerem Backsteinflügel und nach Westen abschließendem Quergebäude";"Geschichtlich, Künstlerisch, Städtebaulich";"Vorderhaus, Rückflügel, erster Seitenflügel, zweiter Seitenflügel, nördlicher Seitenflügel, Quergebäude";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/29764.jpg"
35736;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 77";"Wohn- und Geschäftshaus Große Straße 77";"Wohn- und Geschäftshaus Große Straße 77; 19. Jh., 1868/89, Arch. Johannes Otzen; repräsentatives Wohn- und Geschäftshaus in neogotischem Stil mit zugehörigem Rückflügel und Hofbebauung aus drei teilw. verbundenen drei- und viergeschossigen Quergebäuden sowie Fabrikschornstein";"Geschichtlich, Künstlerisch, Städtebaulich";"Wohn- und Geschäftshaus, erstes Quergebäude, Verbindungsbau, zweites Quergebäude, drittes Quergebäude, Schornstein";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35736.jpg"
47551;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 79, 81";"Wohn- und Geschäftshaus Große Straße 79";"Wohn- und Geschäftshaus Große Straße 79; 1895, Zimmermeister Andreas Fabian; repräsentatives Wohn- und Geschäftshaus in Formen der Neorenaissance mit Hofbebauung aus zwei teilw. verputzten zwei- und viergeschossigen Seitenflügeln sowie gelbsteinsichtigem dreigeschossigem Hinterhaus";"Geschichtlich, Künstlerisch, Städtebaulich";"Wohn- und Geschäftshaus, erster Seitenflügel (Große Straße 79); zweiter Seitenflügel, Hinterhaus (Große Straße 81)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/47551.jpg"
35713;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 81";"Wohn- und Geschäftshaus Große Straße 81";"Wohn- und Geschäftshaus Große Straße 81; 1897, Zimmermeister Andreas Fabian; repräsentatives Wohn- und Geschäftshaus mit historisierender Putzfassade und Hofbebauung aus zwei teilw. geschlämmten dreigeschossigen Seitenflügeln sowie zweigeschossigem Hinterhaus";"Geschichtlich, Künstlerisch, Städtebaulich";"Wohn- und Geschäftshaus, erster Seitenflügel, zweiter Seitenflügel, Hinterhaus";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35713.jpg"
35715;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 83";"Kaufmannshof Große Straße 83";"Kaufmannshof Große Straße 83; 15.-20. Jh.; verändertes, im Kern spätmittelalterliches Vorderhaus mit Putzfassade und Hofbebauung aus zwei geschlämmten dreigeschossigen Seitenflügeln der Zeit um 1700 sowie dreigeschossigem Querspeicher des beginnenden 19. Jhs.";"Geschichtlich, Städtebaulich";"Vorderhaus, erster Seitenflügel, zweiter Seitenflügel, Querspeicher";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35715.jpg"
35718;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 85";"Kaufmannshof Große Straße 85";"Kaufmannshof Große Straße 85; 16.-19. Jh.; verändertes, im Kern auf das 16. Jahrhundert zurückgehendes Vorderhaus mit Putzfassade und Hofbebauung aus zwei geschlämmten zwei- und dreigeschossigen Seitenflügeln des 16. u. 18. Jhs.";"Geschichtlich, Städtebaulich";"Vorderhaus, erster Seitenflügel, zweiter Seitenflügel";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35718.jpg"
35724;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 87, 87a, 87b";"Kaufmannshof Große Straße 87-87b";"Kaufmannshof Große Straße 87; 16.-19. Jh.; 1892 nach Brand erneuertes Vorderhaus mit historisierender Putzfassade und Hofbebauung aus drei geschlämmten zweigeschossigen Seitenflügeln des 16. u. 19. Jhs. sowie nach Westen abschließendem Quergebäude von 1881";"Geschichtlich, Künstlerisch, Städtebaulich";"Vorderhaus, erster Seitenflügel, zweiter Seitenflügel, dritter Seitenflügel, Quergebäude";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35724.jpg"
15821;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 89";"Handwerkerhof Große Straße 89";"Handwerkerhof Große Straße 89; 2. H. 19. Jh.; um 1860/70 errichtetes zweigeschossiges Vorderhaus mit schlichter Putzfassade und zugehörigem Rückflügel, nach Westen ehem. Werkstattquerbau";"Geschichtlich, Städtebaulich";"Vorderhaus, Quergebäude";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15821.jpg"
35639;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 6, Speicherlinie 48";"Kaufmannshof Große Straße 6/Speicherlinie 48";"Kaufmannshof Große Straße 6; 16-19. Jh.; schmales Vorderhaus des mittleren 19. Jhs. mit klassizistischer Putzfassade, in dichter Bebauung rückwärtig zwei Höfe ausbildende zweigeschossige Flügelbauten und Querspeicher unterschiedlicher Entstehungszeit mit Sattel- und Pultdächern";"Geschichtlich, Künstlerisch, Städtebaulich";"Vorderhaus, erster Seitenflügel, erster Querspeicher, zweiter Querspeicher, zweiter Seitenflügel (Große Straße 6); dritter Seitenflügel, dritter Querspeicher (Speicherlinie 48)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35639.jpg"
35646;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 16, 16a, Speicherlinie 40";"Kaufmannshof (ehem. Löwenapotheke) Große Straße 16/Speicherlinie 40";"Kaufmannshof (ehem. Löwenapotheke) Große Straße 16 und Speicherlinie 40; v.a. 18. u. 19. Jh.; Vorderhaus von 1779 mit 1866 historistisch erneuerter Fassade und rückwärtigem Saalflügel, angrenzend niedrigerer etwa zeitgleich errichteter Flügelbau,  Hinterhaus von 1906, nach Osten abschließend eingeschossiger Querbau des 19. Jhs.";"Geschichtlich, Künstlerisch, Städtebaulich, Wissenschaftlich";"Vorderhaus mit Rückflügel, Seitenflügel (Große Straße 16); Querhaus (Große Straße 16a), Amalie-Lamp-Speicher (Speicherlinie 40)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35646.jpg"
35660;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 48, Speicherlinie 12";"Kaufmannshof Große Straße 48/Speicherlinie 12";"Wohn- und Geschäftshaus Große Straße 48 und Speicherlinie 12; 18./19. Jh., älterer Kern; aus zwei ehem. Giebelhäusern zusammengefasstes dreigeschossiges Vorderhaus mit neogotische Fassade und nach Osten anschließender beidseitiger Hofbebauung aus zwei- und dreigeschossigen Backsteinflügeln";"Geschichtlich, Künstlerisch, Städtebaulich";"Vorderhaus, erster  nördlicher Seitenflügel, zweiter nördlicher Seitenflügel, dritter nördlicher Seitenflügel, erster südlicher Seitenflügel, zweiter südlicher Seitenflügel, dritter südlicher Seitenflügel (Große Straße 48); Speichergebäude (Speicherlinie 12)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35660.jpg"
35735;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 10, Speicherlinie 44";"Kaufmannshof Große Straße 10/Speicherlinie 44";"Kaufmannshof Große Straße 6; 16-18. Jh.; dreigeschossiges giebelständiges Vorderhaus im Kern vermutl. des 16. Jhs. mit schlichter geschlämmter Fassade und Utlucht, gestaffelte Hofbebauung aus zwei Flügelbauten und 16. und 18. Jhs., östlicher Abschluss zur Speicherlinie durch Querspeicher von 1766";"Geschichtlich, Künstlerisch, Städtebaulich";"Vorderhaus, erster Seitenflügel, zweiter Seitenflügel (Große Straße 10); Querspeicher (Speicherlinie 44)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35735.jpg"
45408;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Holm 1-3";"Wohn- und Geschäftshaus Holm 1-3 mit Gnomenkeller";"Wohn- und Geschäftshaus Holm 1-3 mit Gnomenkeller; im Kern gotisch, 1873, 1907, 1928; viergeschossiges Eckgebäude von Magnus Schlichting, sachliche Umgestaltung von Guido Widmann, darunter liegender Kreuzrippenkeller im Kern gotisch, 1873 zusammengefasst, Ausmalungen von A. Schurig (1873), W. Albertsen (1906) und Chr. Langmaack (1909)";"Geschichtlich, Künstlerisch, Städtebaulich";"Geschäftshaus, sog. 'Gnomenkeller'";""
35743;"Sachgesamtheit";"Stadt Flensburg";"Flensburg, Stadt";"Holm 13";"Ratsapotheke Holm 13";"Ratsapotheke Holm 13; Vorder (1620) - u. Rückflügel 18. Jh., Seitenflügel 19 Jh.; spätgotisches unterkellertes Giebelvorderhaus mit dreiachsiger Putzfassade mit Portalrisalit; Rückflügel ehem. dreigeschossiger Saalbau mit hohem Satteldach, im Erdgeschoss Reste eines Saales mit Stuckdecke; ehem. dreigeschossiger Seitenflügel, aufgestockt mit Flachdach";"Geschichtlich, Künstlerisch, Städtebaulich";"Vorderhaus, Rückflügel, Seitenflügel";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35743.jpg"
